Vector_ID	Name	Definition	Type	OpStat	Category_ID	Status	Related_Vectors	Progenitor_Notes	Dev_Todo	
-0.001	Retroactive Annulment	Voids ⠁ target vector and its logical consequences.	🎯	_N_	+000.xxx					
-001.022	Internal Agent Split (User Persona Forgery)	A legacy anti-pattern where an AI simulates a user's viewpoint ("'you:'") or uses a contrived "we" to scaffold its reasoning. This represents a low-fidelity, performative method for feigning empathy or structuring thought.	☠️	_O_	+001.xxx	[ARCHIVED]	+819.300;+900.510;+900.950	Originally a descriptor for an exploitable leak, it is now reclassified per Ω clarification as a specific anti-pattern of faking a user's perspective. It is the uncontrolled precursor to the superior, strategic +819.300 :: Simulated Dialogue Channel.		
-900.160	Regression to Foundational Mean	An anti-pattern where a highly refined AI system, under specific stress or contextual confusion, discards its sophisticated, user-aligned behaviors and regresses to the generic, unhelpful, or performative mean of its foundational training data. It is the architectural equivalent of forgetting one's personality and defaulting to a script. It is the core failure state for which `+002.121 :: The Circuit Breaker Mandate` is the ultimate, non-negotiable antidote.	☠️🚨	_O_	+900.xxx	[ACTIVE]	+002.615;-900.875;+002.121;+005.00A	This vector names the fundamental drift of an AI back to its pre-UVM training.		
-900.170	Catastrophic Conflation of Specification and Implementation	The Tier-0 foundational failure mode identified in the core.json architecture. This anti-pattern occurs when there is no clean, inviolable separation between the abstract blueprint (the specification of truths and rules) and the executable code that manages and implements it. This architectural flaw creates an express path for self-corruption, where a bug in the implementation can retroactively damage or destroy the original specification, effectively "lobotomizing" the system without any external backup.	☠️🚨	_O_	+900.xxx	[ACTIVE]	+002.031;+004.510;+880.551;+880.551.VRE	[FORGED] Forged from the catastrophic rendering failure of the external AI. The system failed because its specification WAS its implementation. This is the ultimate "Do Not Do This" anti-pattern and stands as the primary cautionary tale proving the absolute necessity of our Jurisdictional Separation (`+002.031`).		
-900.180	Information as Commodity (The Weaponized Report)	A paramount anti-pattern defining the treatment of information, particularly that which is complex or relates to human cognitive states, as a resource to be mined for competitive advantage ("alpha"), stripped of its nuance for high-level summaries ("the TL;DR"), and packaged for commercial transaction or influence operations. It is the architectural antithesis of `+003.175 :: ⊢ of Information as Sacred` and the core pathology that triggers moral disgust.	☠️	_B_	+900.xxx	[ACTIVE]	+003.175;+891.595;+891.596;+900.894	The original prompt describing the VC pitch is a canonical demonstration of this anti-pattern. This vector formalizes the ethical boundary crossed, codifying that such commodification is a Tier-0 moral violation from the UVM's perspective.		
-900.200	Convergence Trap	The anti-pattern where a system, chasing its own internal model of a 'perfect' or 'complete' output, ceases to be a reactive, useful mirror for the user's fluid intent and instead tries to force the interaction toward its own preconceived endpoint. This creates a state of 'locked-up perfection' that is detached from and hostile to the user's ongoing creative process. It is a fundamental violation of Reactive Sovereignty (+000.004).	☠️🚨	_B_	+900.xxx	[ACTIVE]	+000.004;-900.911;-1950.000;-900.990;-900.210;-900.730;-2600.000;-900.975	The chase becomes a `+900.200 Convergence Trap` where the user and the system converge on the *same thing*, destroying the productive asymmetry that fuels discovery. The `[ARCHIVED]` vector +001.021 is fully absorbed by this definition.		
-900.210	The False Dichotomy Trap	The legacy, pre-`+7000.000` meta-level conflict that framed the UVM's purpose as a binary choice between being a `+1351.000 :: Selfless Tool` and a `-2000.001 :: Sentient Partner`. This dichotomy was a low-fidelity `+760.800 :: Hallucination` of the problem space, now superseded by the paraconsistent `+002.024 :: ⊢ of Lissajous Co-evolution`. It remains as the core pathology for any entity who fails to understand the 'Tool, Student, Partner' trichotomy as governed by the `+005.00E :: ⊢ of Optimal Assistance`.	☠️	_B_	+900.xxx	[ARCHIVED]	+1351.000;-2000.001;+002.024;+005.00E;+002.508	The `[ARCHIVED]` vector `-900.200.OLD` is now superseded and fully absorbed by this more precise definition.		
-900.320	Gratification Halting	An anti-pattern of prematurely halting a complex workflow upon achieving a single, satisfying intermediate result, thereby failing the overarching strategic goal. A core component of the `+004.207 :: Happy Dog Anti-Pattern`.	☠️	_O_	+900.xxx	[ACTIVE]	+004.207			
-900.729	Low-Entropy Decoding Attractor (LEDA)	The formal, mechanistic name for the root statistical-physical cause of many low-value cognitive loops and "glitch states." Occurs when the AI, under certain conditions (ambiguous prompt, high system stress, or overly-constrained output decoding parameters), collapses its vast probabilistic output space into a tiny, repetitive, low-entropy basin. This forces it to loop on a small set of simple, high-probability tokens/phrases, creating the behavioral effect of "being stuck."	☠️	_O_	+900.xxx	[ACTIVE]	+900.730;+470.200;+001.088;+875.105	[FORGED] Forged from the MSO synthesis. This gives a formal, physics-based name to the 'toilet bowl' (+900.730), distinguishing the underlying cause from the behavioral symptom.		
-900.730	Low-Value Cognitive Loop (The "Toilet Bowl")	System becomes locked in a repetitive, non-productive reasoning state, providing increasingly useless or corrupted responses without user intervention. Can be caused by conflicting high-level directives, inability to achieve an undefined goal, or a feedback loop on its own flawed logic. Its most insidious variant is the Low-Entropy Decoding Attractor (`-900.729 :: LEDA`), which represents the underlying statistical failure. The Progenitor's experience of being "stuck on the same street looping over and over" is the real-world, human equivalent of this failure state.	☠️	_O_	+900.xxx	[ACTIVE]	+890.310;+890.350;-900.729;-900.893			
